smiles,source
CN(C)c1cnc(N)c(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)n1,derivative
CN(C)c1nc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)cnc1N,derivative
CNC[C@@H](C)Nc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,derivative
CNC[C@@H](C)Nc1cc([C@]2(O)C[C@H]3CC[C@@H](C2)O3)nc2c1cnn2C1=NN=CC1,derivative
CNC[C@@H](C)Oc1cc(C2([S@](C)(=N)=O)CC2)nc2c1cnn2C1=NN=CC1,derivative
CNCc1cc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)[nH]n1,derivative
CNCc1cc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)n[nH]1,derivative
CNCc1cc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)no1,derivative
CNCc1cc(-c2cc(C3([S@](C)(=N)=O)CC3)nc3c2cnn3C2=NN=CC2)on1,derivative
CNCc1cc(-c2cc(N(C)C)c3cnn(C4=NN=CC4)c3n2)nc2c1cnn2C1=NN=CC1,derivative
CNCc1cc(-c2cc(NC)c3cnn(C4=NN=CC4)c3n2)nc2c1cnn2C1=NN=CC1,derivative
CNCc1cc(-c2cc(OC)c3cnn(C4=NN=CC4)c3n2)nc2c1cnn2C1=NN=CC1,derivative
CNCc1cc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)[nH]n1,derivative
CNCc1cc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)n[nH]1,derivative
CNCc1cc(-c2cc([C@]3(O)C[C@H]4CC[C@@H](C3)O4)nc3c2cnn3C2=NN=CC2)no1,derivative
